id,app,name,applied
1,contenttypes,0001_initial,2024-10-17 16:16:17.369632
2,contenttypes,0002_remove_content_type_name,2024-10-17 16:16:17.383940
3,auth,0001_initial,2024-10-17 16:16:17.405087
4,auth,0002_alter_permission_name_max_length,2024-10-17 16:16:17.417258
5,auth,0003_alter_user_email_max_length,2024-10-17 16:16:17.427045
6,auth,0004_alter_user_username_opts,2024-10-17 16:16:17.434740
7,auth,0005_alter_user_last_login_null,2024-10-17 16:16:17.441869
8,auth,0006_require_contenttypes_0002,2024-10-17 16:16:17.445867
9,auth,0007_alter_validators_add_error_messages,2024-10-17 16:16:17.454416
10,auth,0008_alter_user_username_max_length,2024-10-17 16:16:17.461882
11,auth,0009_alter_user_last_name_max_length,2024-10-17 16:16:17.469972
12,auth,0010_alter_group_name_max_length,2024-10-17 16:16:17.479769
13,auth,0011_update_proxy_permissions,2024-10-17 16:16:17.488939
14,auth,0012_alter_user_first_name_max_length,2024-10-17 16:16:17.495436
15,accounts,0001_initial,2024-10-17 16:16:17.540441
16,Appdocuments,0001_initial,2024-10-17 16:16:17.558518
17,admin,0001_initial,2024-10-17 16:16:17.576391
18,admin,0002_logentry_remove_auto_add,2024-10-17 16:16:17.598297
19,admin,0003_logentry_add_action_flag_choices,2024-10-17 16:16:17.610126
20,rooms,0001_initial,2024-10-17 16:16:17.644758
21,adminpanel,0001_initial,2024-10-17 16:16:17.661152
22,adminpanel,0002_initial,2024-10-17 16:16:17.899919
23,attendance,0001_initial,2024-10-17 16:16:17.928436
24,attendance,0002_initial,2024-10-17 16:16:17.955974
25,authtoken,0001_initial,2024-10-17 16:16:17.986183
26,authtoken,0002_auto_20160226_1747,2024-10-17 16:16:18.051819
27,authtoken,0003_tokenproxy,2024-10-17 16:16:18.058235
28,authtoken,0004_alter_tokenproxy_options,2024-10-17 16:16:18.068415
29,sessions,0001_initial,2024-10-17 16:16:18.077452
30,authtoken,0001_initial,2024-10-12 05:19:13.930404
31,authtoken,0002_auto_20160226_1747,2024-10-12 05:19:13.985097
32,authtoken,0003_tokenproxy,2024-10-12 05:19:13.990520
33,authtoken,0004_alter_tokenproxy_options,2024-10-12 05:19:13.998700
34,sessions,0001_initial,2024-10-12 05:19:14.009527
35,attendance,0003_alter_attendance_status_alter_device_room,2024-10-08 16:49:54.292546
36,rooms,0006_remove_room_student_room_students_and_more,2024-10-11 15:27:06.203143
37,rooms,0007_alter_room_homeroom_teacher_alter_room_students,2024-10-12 03:14:05.208670
38,adminpanel,0002_alter_grades_subject_alter_lesson_subject_and_more,2024-10-12 11:22:29.677798
39,adminpanel,0003_delete_studyweek,2024-10-14 09:04:28.506490
40,adminpanel,0004_rename_semester_semester_name_and_more,2024-10-14 09:04:28.541028
41,adminpanel,0005_classsubjectteacherassignment,2024-10-17 12:05:24.750663
42,adminpanel,0006_alter_classsubjectteacherassignment_options_and_more,2024-10-17 13:35:08.562023
43,adminpanel,0002_initial,2024-10-17 16:06:15.542397
